id_sewa,nama_barang,jenis,tanggal_sewa,durasi_sewa,hari,bulan,stok,total_biaya
MIP-00001,Screen 2x3,Screen,2024-01-26,6,Friday,1,13,1755000
MIP-00002,TV 43 Inch,TV,2024-08-16,2,Friday,8,8,654000
MIP-00003,Screen 2x3,Screen,2025-08-27,4,Wednesday,8,6,1256000
MIP-00004,Epson 6000 Lumens,Proyektor,2024-04-05,2,Friday,4,12,2039000
MIP-00005,Epson 6000 Lumens,Proyektor,2025-07-28,2,Monday,7,18,1862000
MIP-00006,TV 43 Inch,TV,2025-04-04,5,Friday,4,13,1397000
MIP-00007,Epson 6000 Lumens,Proyektor,2026-02-16,7,Monday,2,10,6381000
MIP-00008,TV 65 Inch,TV,2024-12-14,3,Saturday,12,9,2254000
MIP-00009,TV 43 Inch,TV,2026-02-20,3,Friday,2,8,918000
MIP-00010,Screen 2x3,Screen,2025-01-24,1,Friday,1,16,312000
MIP-00011,TV 55 Inch,TV,2025-09-10,3,Wednesday,9,6,1492000
MIP-00012,TV 75 Inch,TV,2025-07-03,1,Thursday,7,17,1313000
MIP-00013,Screen 2x3,Screen,2025-07-19,3,Saturday,7,16,960000
MIP-00014,TV 43 Inch,TV,2025-12-22,1,Monday,12,6,283000
MIP-00015,TV 43 Inch,TV,2026-03-02,3,Monday,3,7,843000
MIP-00016,TV 43 Inch,TV,2024-04-13,4,Saturday,4,13,1124000
MIP-00017,TV 75 Inch,TV,2025-10-12,7,Sunday,10,16,8071000
MIP-00018,Screen 3x4,Screen,2025-01-14,3,Tuesday,1,11,1206000
MIP-00019,TV 50 Inch,TV,2025-12-19,6,Friday,12,7,2663000
MIP-00020,Screen 3x4,Screen,2025-06-30,6,Monday,6,12,2300000
MIP-00021,Screen 3x4,Screen,2025-04-18,4,Friday,4,13,1636000
MIP-00022,TV 43 Inch,TV,2025-12-02,3,Tuesday,12,6,835000
MIP-00023,TV 43 Inch,TV,2026-04-21,1,Tuesday,4,15,288000
MIP-00024,TV 65 Inch,TV,2024-10-01,1,Tuesday,10,11,681000
MIP-00025,TV 55 Inch,TV,2024-08-05,6,Monday,8,20,3271000
MIP-00026,TV 65 Inch,TV,2025-10-20,4,Monday,10,9,2960000
MIP-00027,TV 50 Inch,TV,2024-05-22,2,Wednesday,5,13,846000
MIP-00028,TV 65 Inch,TV,2025-08-20,4,Wednesday,8,16,2808000
MIP-00029,TV 43 Inch,TV,2024-05-21,5,Tuesday,5,20,1528000
MIP-00030,Screen 2x3,Screen,2026-02-12,1,Thursday,2,8,273000
MIP-00031,Screen 3x4,Screen,2025-10-04,2,Saturday,10,18,817000
MIP-00032,Screen 2x3,Screen,2025-01-29,4,Wednesday,1,19,1121000
MIP-00033,TV 50 Inch,TV,2025-07-20,7,Sunday,7,5,2876000
MIP-00034,Screen 2x3,Screen,2025-11-29,5,Saturday,11,13,1635000
MIP-00035,TV 55 Inch,TV,2024-04-24,3,Wednesday,4,18,1804000
MIP-00036,Screen 3x4,Screen,2025-04-09,1,Wednesday,4,13,425000
MIP-00037,Screen 3x4,Screen,2025-06-03,1,Tuesday,6,14,384000
MIP-00038,TV 43 Inch,TV,2024-06-05,3,Wednesday,6,10,828000
MIP-00039,Epson 6000 Lumens,Proyektor,2025-09-05,3,Friday,9,20,3111000
MIP-00040,Epson 6000 Lumens,Proyektor,2024-04-24,3,Wednesday,4,14,2964000
MIP-00041,TV 43 Inch,TV,2024-02-29,2,Thursday,2,7,555000
MIP-00042,Screen 2x3,Screen,2026-01-19,4,Monday,1,7,1199000
MIP-00043,Screen 3x4,Screen,2024-05-11,6,Saturday,5,20,2177000
MIP-00044,Screen 3x4,Screen,2024-09-28,5,Saturday,9,18,2164000
MIP-00045,TV 43 Inch,TV,2025-07-06,7,Sunday,7,11,1999000
MIP-00046,TV 50 Inch,TV,2025-02-12,6,Wednesday,2,16,2788000
MIP-00047,TV 75 Inch,TV,2025-06-13,4,Friday,6,8,4619000
MIP-00048,TV 43 Inch,TV,2024-08-18,1,Sunday,8,15,301000
MIP-00049,Epson 6000 Lumens,Proyektor,2025-08-25,5,Monday,8,12,5047000
MIP-00050,TV 43 Inch,TV,2024-01-08,1,Monday,1,6,281000
MIP-00051,TV 43 Inch,TV,2024-03-10,1,Sunday,3,15,328000
MIP-00052,Screen 2x3,Screen,2025-06-10,2,Tuesday,6,13,633000
MIP-00053,TV 75 Inch,TV,2024-08-07,5,Wednesday,8,9,6527000
MIP-00054,TV 75 Inch,TV,2024-09-05,7,Thursday,9,20,9063000
MIP-00055,TV 65 Inch,TV,2024-07-13,1,Saturday,7,8,714000
MIP-00056,TV 65 Inch,TV,2024-12-28,4,Saturday,12,18,3036000
MIP-00057,TV 75 Inch,TV,2026-01-16,1,Friday,1,8,1101000
MIP-00058,Epson 6000 Lumens,Proyektor,2025-02-16,6,Sunday,2,15,5635000
MIP-00059,Screen 2x3,Screen,2024-09-11,2,Wednesday,9,11,545000
MIP-00060,TV 75 Inch,TV,2024-05-23,4,Thursday,5,10,4632000
MIP-00061,TV 50 Inch,TV,2025-04-18,2,Friday,4,7,880000
MIP-00062,TV 75 Inch,TV,2026-04-07,7,Tuesday,4,8,8016000
MIP-00063,Epson 6000 Lumens,Proyektor,2025-10-29,5,Wednesday,10,5,5329000
MIP-00064,Screen 2x3,Screen,2026-02-10,7,Tuesday,2,12,2040000
MIP-00065,Screen 3x4,Screen,2025-02-20,4,Thursday,2,20,1530000
MIP-00066,TV 43 Inch,TV,2025-02-14,1,Friday,2,10,303000
MIP-00067,TV 65 Inch,TV,2024-01-03,4,Wednesday,1,13,2599000
MIP-00068,TV 75 Inch,TV,2024-10-19,4,Saturday,10,20,5090000
MIP-00069,Screen 3x4,Screen,2024-07-13,3,Saturday,7,11,1098000
MIP-00070,Epson 6000 Lumens,Proyektor,2025-08-16,6,Saturday,8,6,6584000
MIP-00071,TV 55 Inch,TV,2024-02-28,1,Wednesday,2,20,580000
MIP-00072,Screen 3x4,Screen,2024-02-28,5,Wednesday,2,7,1879000
MIP-00073,Screen 3x4,Screen,2024-03-11,5,Monday,3,7,1802000
MIP-00074,TV 43 Inch,TV,2025-02-17,1,Monday,2,12,319000
MIP-00075,Epson 6000 Lumens,Proyektor,2025-09-26,1,Friday,9,18,1041000
MIP-00076,TV 55 Inch,TV,2024-09-24,2,Tuesday,9,15,1150000
MIP-00077,TV 43 Inch,TV,2024-09-28,4,Saturday,9,9,1265000
MIP-00078,TV 50 Inch,TV,2025-04-13,3,Sunday,4,7,1235000
MIP-00079,Epson 6000 Lumens,Proyektor,2025-04-14,5,Monday,4,8,4858000
MIP-00080,Screen 2x3,Screen,2025-07-04,2,Friday,7,13,554000
MIP-00081,Screen 3x4,Screen,2024-12-23,1,Monday,12,12,429000
